,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
56,20200811,000007.SZ,8.85,9.1,8.8,8.96,8.83,0.13000000000000078,1.4723,62058.22,55608.039,2.0087,8.702,63175.425,8.6875,52121.472,8.8147,60758.8913,8.591,62843.697,8.4366,65709.1983,,
57,20200810,000007.SZ,8.57,8.87,8.55,8.83,8.63,0.1999999999999993,2.3175,51679.5,45170.919,1.6728,8.658,60107.774,8.7025,52896.6275,8.807,60263.4677,8.5748,62865.2213,8.4295,65863.334,,
58,20200807,000007.SZ,8.57,8.65,8.52,8.63,8.62,0.010000000000001563,0.116,44018.65,37710.464,1.4248,8.628,58509.623,8.744,55269.848,8.8063,60500.701,8.5608,62903.5797,8.4231,65881.184,,
59,20200806,000007.SZ,8.67,8.67,8.51,8.62,8.67,-0.05000000000000071,-0.5767,54777.0,47029.633,1.773,8.62,56998.447,8.7975,60467.5565,8.8217,60831.6293,8.553,63317.2688,8.4188,66290.4213,,
60,20200805,000007.SZ,8.79,8.79,8.63,8.67,8.79,-0.11999999999999922,-1.3652,40017.05,34761.277,1.2953,8.613,54140.291,8.837,64532.2505,8.8443,61887.096,8.5482,63563.808,8.4148,66599.7602,,
61,20200804,000007.SZ,8.78,8.97,8.67,8.79,8.82,-0.030000000000001137,-0.3401,102132.0,89747.538,3.3058,8.615,53694.787,8.846,64874.184,8.8653,63359.4317,8.5353,63141.5405,8.4098,67761.6669,,
62,20200803,000007.SZ,8.61,9.12,8.61,8.82,8.6,0.22000000000000064,2.5581,110786.19,98275.037,3.5859,8.602,45629.146,8.845,63657.7915,8.8807,62959.1943,8.5203,61852.0572,8.406,68835.3825,,
63,20200731,000007.SZ,8.56,8.68,8.45,8.6,8.56,0.03999999999999915,0.4673,58010.68,49484.443,1.8777,8.585,37116.326,8.8455,60990.419,8.8853,61736.0007,8.5043,60385.2067,8.3956,69501.9517,,
64,20200730,000007.SZ,8.6,8.88,8.55,8.56,8.54,0.02000000000000135,0.2342,82798.48,71980.434,2.68,8.578,34923.858,8.852,60522.166,8.896,64292.5153,8.4922,60044.9922,8.3852,70610.9393,,
65,20200729,000007.SZ,8.52,8.57,8.46,8.54,8.52,0.019999999999999574,0.2347,25476.48,21678.723,0.8246,8.602,33449.151,8.859,58182.742,8.8917,64308.8827,8.4822,59139.7175,8.3762,73205.6818,,
66,20200728,000007.SZ,8.52,8.57,8.48,8.52,8.53,-0.009999999999999787,-0.1172,31381.71,26725.65,1.0158,8.673,41067.519,8.871,59550.6245,8.8887,66367.9507,8.4727,59162.885,8.3665,73160.9445,,
67,20200727,000007.SZ,8.55,8.58,8.41,8.53,8.55,-0.02000000000000135,-0.2339,35697.99,30186.446,1.1555,8.747,45685.481,8.8815,60341.3145,8.8737,66658.223,8.4638,59327.3688,8.3638,73025.2052,,
68,20200724,000007.SZ,8.54,8.69,8.41,8.55,8.55,0.0,0.0,28906.89,24593.183,0.9357,8.86,52030.073,8.8955,61496.24,8.857,66100.8567,8.4553,59572.3762,8.3687,72975.5434,,
69,20200723,000007.SZ,8.67,8.67,8.45,8.55,8.69,-0.1399999999999988,-1.611,26195.44,22367.044,0.8479,8.975,63936.666,8.9225,62748.2205,8.8403,65799.127,8.4475,60003.421,8.3738,72927.1179,,
70,20200722,000007.SZ,8.68,8.77,8.58,8.69,8.66,0.02999999999999936,0.3464,35562.01,30956.805,1.1511,9.061,74924.21,8.96,65760.4985,8.824,65783.246,8.44,60503.5015,8.38,72932.2059,,
71,20200721,000007.SZ,8.69,8.82,8.64,8.66,8.65,0.009999999999999787,0.1156,21475.59,18679.446,0.6951,9.077,76053.581,8.9905,68191.754,8.8037,66793.4997,8.4288,60713.6777,8.3861,72976.9683,,
72,20200720,000007.SZ,8.53,8.68,8.53,8.65,8.53,0.120000000000001,1.4068,25657.99,22093.138,0.8305,9.088,81686.437,9.02,71624.2185,8.791,70341.7093,8.4182,61633.0872,8.3926,73367.4382,,
73,20200717,000007.SZ,8.77,8.84,8.45,8.53,8.8,-0.27000000000000135,-3.0682,36086.0,30866.33,1.168,9.106,84864.512,9.0355,74045.838,8.7733,72060.8487,8.4082,61677.434,8.3982,73404.2864,,
74,20200716,000007.SZ,9.16,9.2,8.78,8.8,9.25,-0.4499999999999993,-4.8649,68051.41,60567.278,2.2027,9.126,86120.474,9.055,78976.844,8.759,75196.3617,8.4002,61516.6148,8.4047,73394.6781,,
75,20200715,000007.SZ,9.26,9.45,9.19,9.25,9.26,-0.009999999999999787,-0.108,101660.16,95063.571,3.2905,9.116,82916.333,9.0365,79738.7485,8.7523,76715.3257,8.3883,60825.8522,8.4091,73192.9373,,
76,20200714,000007.SZ,9.57,9.68,9.1,9.26,9.66,-0.40000000000000036,-4.1408,77561.33,72359.78,2.5105,9.069,78033.73,8.9965,79018.1665,8.735,77002.3327,8.3692,59860.3262,8.4096,72617.8575,,
77,20200713,000007.SZ,9.7,9.79,9.51,9.66,9.7,-0.03999999999999915,-0.4124,99143.91,95921.528,3.2091,9.016,74997.148,8.937,77144.594,8.6993,77347.5333,8.3497,59340.8087,8.4106,72369.6756,,
78,20200710,000007.SZ,9.39,10.09,9.21,9.7,9.41,0.28999999999999915,3.0818,147972.82,141253.162,4.7896,8.931,70962.407,8.8555,73136.2485,8.6427,74747.438,8.3233,58217.1852,8.4088,71892.4262,,
79,20200709,000007.SZ,8.85,9.5,8.75,9.41,8.85,0.5600000000000005,6.3277,136070.88,124261.782,4.4043,8.87,61559.775,8.773,66730.3575,8.5853,70150.3107,8.296,56664.2222,8.4063,71009.9402,,
80,20200708,000007.SZ,8.76,8.86,8.7,8.85,8.77,0.08000000000000007,0.9122,46855.72,41239.9,1.5166,8.859,56596.787,8.7055,61212.764,8.5387,66088.133,8.2743,55095.902,8.4071,70193.7579,,
81,20200707,000007.SZ,8.85,8.85,8.63,8.77,8.83,-0.0600000000000005,-0.6795,77804.15,68071.619,2.5184,8.904,60329.927,8.667,62163.459,8.5103,65401.256,8.2635,54882.2442,8.4123,70175.0006,,
